Candidatus Liberibacter africanus,Candidatus Liberibacter africanus,Candidatus Liberibacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Huanglongbing,Asian/African citrus psyllid complex
Candidatus Liberibacter americanus,Candidatus Liberibacter americanus,Candidatus Liberibacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Huanglongbing,Asian/African citrus psyllid complex
Candidatus Liberibacter asiaticus,Candidatus Liberibacter asiaticus,Liberobacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Huanglongbing,Asian/African citrus psyllid complex
Candidatus Liberibacter solanacearum,Candidatus Liberibacter solanacearum,Candidatus Liberibacter,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,Zebra chip,Tomato-potato psyllid complex
Cephus cinctus,C. cinctus,Cephus,Cephidae,Hymenoptera,Insecta,Arthropoda,Animal,Wheat stem sawfly
Cephus pygmeus,C. pygmeus,Cephus,Cephidae,Hymenoptera,Insecta,Arthropoda,Animal,Wheat stem sawfly
Ceratitis capitata,C. capitata,Ceratitis,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Mediterranean fruit fly
Ceratitis rosa,C. rosa,Ceratitis,Tephritidae,Diptera,Insecta,Arthropoda,Animal,Natal fruit fly
Chilo auricilia,C. auricilia,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Gold-fringed rice stemborer
Chilo infuscatellus,C. infuscatellus,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Yellow top borer of sugarcane
Chilo orichalcociliella,C. orichalcociliella,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Spotted stem borer
Chilo partellus,C. partellus,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Spotted stalk borer
